user_name,review_text,rating,label
Sister King,"To whom this may concern,
Recently, I was injured on the job. Stressed about apartment eviction and car/ insurance payments. These three are my biggest bills. After praying about my burdens, I then turned to my lawyer Mr. John Dufour. With his years of experience and affiliation with the company by the name of ""Fast Funds"" which are owned and operated by Mr. Bruce and Jason. Fast funds specializes in settlement cash advances. What does that mean? Its a financial relief for anyone who's injured. With that injury comes with a settlement offer. Well, from first hand it takes time to accumulate all the evidence in your situation. That's when hard times hit and you should contact ""Fast Funds"" where Bruce/Jason will be more than happy to assist you in your financial situation. If it wasn't for these three Angels I would be homeless, Literally! God places people in your life for a reason and these three Angels have been a blessing to my life. So stop worrying about what's already been solved. Go ahead and give ""Fast Funds"" a try Today!",5,Ad
Jenny Castillo,The best fast funds ever I lost my mother thanks to fast funds I was able to cover my mother funeral so professional and services are so fast the funds were in my account in the blink of an eye,5,Ad
jr wood,"Hands down some of the best customer service I have experienced within the industry! Helpful, great pricing, not to mention responding to emails after hours within record time frames!

Thank you for making my transaction so smooth considering all the questions I had.",5,Valid
Anthony Morales,I would definitely recommend shopping for all your off-road related items here! Everything arrived on time and in good condition. I couldn’t be happier. Great customer service from James. 10/10 would recommend!,5,Valid
auburn extreme Powersports,"These guys are amazing and have the feel of a small shop where you can get a change to know the employees. If you have a question or need a recommendation to achieve the customization goal they can totally help you out. I bought new doors, bags, paddle tire kit and they all arrived before my big Thanksgiving trip to make my RZR look sweet. I highly recommend these guys for the huge amount of inventory, experience, and overall great prices, I can buy here without feeling the need to price shop other locations. Thank you to everyone at AO for all your help and you can betcha buns ill be back!",5,Valid
Lovehub,James and Chris went above and beyond on my X3 build. The amount of detail and time they took on every little piece of this car is unmatched. And they were with me every step of the way. Pricing was competitive with online pricing yet they have a brick and mortar location.  Thanks again guys,5,Valid
Westley Aston,Ordered a headlight kit for my X3. Great Price and answers emails quickly. Will order from them again! Thanks!,5,Valid
Nicholas Moreno,These guys are the best in the industry. They do some build and amazing work. I've been taking my utv tonthem for years now.,5,Rant
Fredrick Burnstein,"Great experience, overall - Loved it. 5 Stars.

My Raptor needed the 'Icon Vehicle Dynamics 2010 - 2014 Ford SVT Raptor 3.0 Performance Suspension - Stage 1' and I was able to checkout on the website & it got shipped relatively quickly. Nothing but good things to say about this company!",5,Valid
Chris Hrezo,"I love this place! They have always treated me right and act more like friends to me than just another off-road shop! James is always upfront and honest, and always as professional as possible. Prices are always very low and Dalton does the best and cleanest wiring of any SXS shop that I have seen! They stand behind their products and will do whatever they have to to get the products you need!",5,Valid
Alchemy Leads,Love the quality of work & service here! 5/5 Stars no question,5,Valid
Seth Walker,"I have always admired AO's builds and had one day hoped to get my car in their shop for upgrades. Before I could do that, I ran out of talent and wadded up the front end on my RZR cracking the frame in the process. I called Alternative the following day (on a Sunday) and surprisingly James answered my call. He answered all my questions and walked me through the whole insurance process without even expecting me to bring my car to him. It was like we had known each other for years.

The shop is a couple hours from me but was well worth the drive. I ended up having a lot of problems with my insurance company dropping the ball and jacking me around. James was super patient, helped me out a ton with all the issues, was up front about every detail, and finally my RZR came back looking like nothing ever happened even with a full frame swap. They went above and beyond to clean up all my wiring that another ""shop"" had slapped together.

Their pics speak for themselves. Believe me when I say their work is very clean and thorough. Solid team of guys that do things right the first time. Extremely hard to find in this industry.

Highly recommend!",5,Valid
What the Z,One of the best places for off road parts.,5,Ad
Bill Rabe,My refund was issued,4,Irrelevant
Charmian McKeown,"Horrendous experience

Ordered an expensive desk from Homary and was told 9 - 11 week delivery time. It took 21 weeks. I was very happy to wait and was very understanding due to the COVID situation however when the desk finally arrived, it was only one piece, with no legs! I was then told the remaining legs would arrive in 9 - 11 weeks again, but may be longer. I could not wait another 21 weeks as I work from home and have no where to sit!

I politely asked for a refund as I couldn't wait any longer and would just purchase a cheaper desk for now that could be delivered quickly.

I have only been refunded a partial amount and no idea why, as I should get the full refund - they are now ignoring my communications.

However the most frustrating and rude part of this process is that after my understanding for 21 weeks, I asked for the large/heavy piece of unusable desk they delivered to be picked up - I cannot move it and it is taking up my entire hall. I was told I have to ""dispose of it"". I explained it is too heavy and I can't afford to get someone to come and get it, I was then told to ""Ask family or friends to help"". I have no family or friends living near me and I found this so unhelpful and pretty assumptive and upsetting. It is now sitting in my hallway as a health and safety hazard, I am £80 down as they haven't paid me a full refund and I have to order anew desk to work from after waiting 21 weeks.

I never review companies online as I understand mistakes happen but I wouldn't want anyone else to deal with this incompetent company.

Be warned!",1,Rant
Steve J,"Hi... It's been almost a month since I purchase a table that said ""in stock""... I requested the tracking number a few days later by email and was told it was being process and will be shipped out soon... Now weeks after it's still not shipped and no further reply to my enquires!!!",1,Irrelevant
Geetha Selva,Dropshipper with a large marketing budget and a website... Terrible service!,1,Ad
mazdak khoshdaman,"It’s sounds like scam . I’ve made a purchase but haven’t received any email or communication. I can’t even contact them . Don’t even know what is my order number . Just going my bank and dispute the transaction.
Looks like scam to me .
Scam
Scam
Scam",1,Ad
Maryam Bozo,Scam!! Buyers beware!!,1,Ad
Jean Sadler,"(Translated by Google) My worst internet ordering experience.
After more than 4 months of waiting, no delivery news.
I've never had to send so many emails for information, I've been told all kinds of excuses.
Until requesting a refund.
I wasn't even answered anymore,
I had to call 4 times in China with a person who spoke very poor English, and struggled for several weeks to get my money back

(Original)
Ma pire expérience de commande sur internet.
Après plus de 4 mois d’attente, aucune nouvelle de livraison.
Je n’ai jamais eu à envoyer autant de mail pour information, on m’a raconté toute sorte d’excuses.
Jusqu’à demander un remboursement.
On ne me répondait même plus ,
J’ai du appeler 4 fois en Chine avec une personne qui parle très mal anglais, et batailler plusieurs semaines pour être remboursé",1,Irrelevant
Danny Blast,"I had what I believed was an irresolvable sandwich moistener disagreement with my neighbour. ASMC helped me make peace, and saved my home life!",5,Valid
jimmy renteria,"RUN! STAY AWAY!! This company came to my home after a pipe burst upstairs. I had water 2-3 inches deep in my home. They brought at least 6 fans and several extra humidifiers they charged insurance extra for which were never working. I locked my garage door from the inside so I could secure some of my valuables and they broke in while I was gone. They searched through my stuff and stole sodas and beer. They stole military service medals, sunglasses, and several other small items. When I confronted the head technician David Renteria, he said they broke into my garage to use the power outlet. They had also opened a case of sodas that were on a shelf nowhere near the outlet and taped the sodas together 2 at a time to prop fans up in the house. They're the most unprofessional company that I have ever dealt with. STAY AWAY! RUN!",1,Rant
Richard Garcia,By far the best company I have dealt with. Very professional and they made sure my clients carpet was spotless clean. Thank you Rainbow Inernational for going above and beyond what I expected.,5,Valid
Gus Guerra,Excellent company! From something as simple as a carpet clean to water or fire restoration this company is incredible! Highly recommend!! Friendly staff and professional technicians!,5,Valid
Karen Castro,They were very quick and did a nice job. Also very friendly people. 10/10 recommend!,5,Valid
Diver One,"Money hungry.....unprofessional......no communication with the insurance.....they only care about getting the job !
The customer and homeowner is not a concern to them.",1,Rant
Kirsten Reeder,"Our son likes making music, so we signed him up for a summer camp at Mix Major. He loved it! The teaching of skills and interaction with other kids was great for him. He's now taking weekly classes, has created several songs, and because of what he's learned and the confidence it's given him he created an entire album of music. We love that the students use professional software and are learning skills that are up to date and used is the music production industry today. Mr. Jao is also great at helping the kids learn, and making class fun. Can't say enough great things.",5,Valid
Kevin Toop,"I signed my daughter up for a mix major camp just to try something different. She fell in love and now takes a weekly class. I had no idea how much she would enjoy creating and remixing digital music. She gets to work on her computer skills, music skills, and general creativity. She even works on it in her spare time and she is super proud of the projects she completes. Eric does an amazing job and has a real passion for teaching. His unyielding positivity is inspiring and motivating. Mix Major is the best activity my daughter has done in her 11 years!",5,Valid
GRACE MARTINEZ,"Mix Major is a great music school! My son has learned a lot from Eric's professional musical prowess and has enjoyed every weekly lessons.  We are so fortunate that we have found this school, not only for its qualifications as a good music school, but because of its personal touch. Eric truly cares for his students and that's what makes him and his school so special.",5,Valid
George Cheng,"Our child has really enjoyed Mix Major's DJ'ing/music production program!  It started with a summer camp a few summers ago but since we are not local, we could not attend the regular weekday classes.  It was great to see Eric be so adaptive during the pandemic and really grow his online platform to allow our child to now attend the weekly classes.  There aren't too many silver linings from this pandemic but this is one of few.  It's neat to see kids with similar music interests from all over the country now in these classes.  Eric has also arranged, from time to time, extra workshops exposing the students to a variety of people in the music industry which gives the students a wider perspective of real life applications that are possible from these classes.  Our child in general would not sit still long enough to appreciate regular musical instrument lessons but this program has helped to increase the interest in music. Our piano is getting more use now and  there is a much higher level of excitement for orchestra class in middle school.  Who know where this class can take our child, but the new appreciation for music and instruments makes the program well worth it.",5,Valid
Katie,"My son started getting into electronic music using garage band and eventually Ableton. After seeing how he enjoyed making music, I scoured the internet looking for a school to teach that type of music and found Mix Major. We are so glad we did! Our son has learned so much and looks forward to class every week. After each class, he excitedly tells us how he has learned something new. Eric does a great job of pointing our son in the right direction to improve his music/project, always in a positive enthusiastic way. Mix Major is the best!",5,Valid
Melissa Nguyen,We are very impressed with our 10 year old daughter's progress at Mix Major.  Eric is a great instructor; he is patient and really supportive of his students. We have also known an increase in time our daughter dedicates to piano and voice too...she's really found her passion in music and much if it is thanks to this program!,5,Valid
Cyndi Tran,This is truly an innovative and creative way of diving in to make music production fun. Eric is such a talented musician and an amazing instructor who curates learning to each individual's needs. I am truly grateful to have someone finally make production an easy approach.,5,Valid
Veronica Janer,My daughter absolutely loves Mix Major. She gets to learn about making electronic dance music and about making music in general. It is a laid back yet productive class. My daughter has a good time and is always excited to go. Eric is a great teacher. He’s very passionate and excited to teach kids everything he knows. He gives a good balance of guidance and encouraging their creativity. So glad I found this place!,5,Valid
Erin,"Our two boys (ages 10 and 12) attended Mix Major camp this summer, and it was their favorite camp of the summer!  Eric inspired them to learn and be creative musically while having fun, and while teaching them principles of music and music production.  The kids were relaxed and happy at the end of each day, and they didn't even realize how much they were learning because of Eric's fun and personalized teaching style.  We wish we lived close enough to attend the after-school program, but we'll just have to eagerly await next summer's camp session!",5,Valid
Rebecca Davis,"My son, age 9, loves mix major and has really taken to making his own music! He is enrolled in an ongoing weekly group lesson with mix major and he has done one week of camp. He’s doing another week at the end of the month.

Eric/Mr Jao is a great instructor and he is so positive and encouraging with all of the kids. When they share their music he is bopping his head to their tunes. The assistants he has are great teachers as well and help the kids navigate the software. Eric also teaches some music theory and technical terms to the kids. In the camp, they make albums and my son loves sharing his album with his friends. When we went swimming and picked up his friend the other day, we put on the album Will had made at mix major camp, and his friend said, “yeah! This is my kind of music!” So glad to have found mix major just searching for DJ camps.",5,Valid
Nikolai Teleguine,"My kid was interested in electronic music for a while, so when I heard about Mix Major opening in Herndon, we immediately signed up for the next available trial class. Eric gave us a very impressive walk-through of creating a song from scratch, using digital audio software and equipment the studio has, and got kids involved in making beats and samples. He has vast professional experience in making music, can present concepts very clearly, and has great rapport with kids. We signed up for his weekly classes, and my kid enjoys them enormously. I highly recommend Mix Major for any kid who is into music and computers.",5,Valid
Bob Chadwick,"This kind of technology-related music education is the future, and founder, Eric Jao, is out there on the cutting edge! My son, 14, just finished a week of summer camp at Mix Major. It was a smash hit! He had no prior experience. This class engaged him. He loved it.  It enabled his creativity. It released a chunk of his inner creativity that we did not know existed. The kids go at their own pace and get to see results...and that builds confidence! Great experience! Bravo Eric!",5,Valid
Ardeshir Edward Nadimi,"I was referred by a friend to Eric to help me learn how to produce electronic music.

We started with an introductory call and then an introductory course, during which he provided me direct teaching on the Ableton Live DAW to come up with a song from a prepared set of audio samples he had sent me to download prior to the session. This was all handled via the Zoom platform.

I decided to join his class on the spot, as I knew I had found someone who was very well-versed in 1-using Ableton, 2-producing electronic music, and 3-teaching.

I have been a teacher in the past, and have spent much of my adult life as a learner. It is easy for me to tell when someone has the patience, foresight, and knowledge to teach well. Eric fits the bill on all fronts.

From the music production side: I have not felt this alive in many years. Granted, I have had the goal of music production for more than a decade and I am just now getting around to seriously pursuing it. However, I think my experience is likely generalizable and not strictly confined to those who want to pursue music production seriously. The sheer act of creatively ""playing"" with music is something I think is probably built into the human psyche and human experience, and this class provides an outlet for that kind of artistic/human expression

Finally, I will say that in my brief dealings with Eric so far, I can tell that he has a kind heart and is truly trying to make the world a better -- and more music-filled -- place, one music-producer at a time.",5,Irrelevant
Alina Kirshon Goldman,"Eric is inspiring and supportive in his instruction. My son attended Mix Major camp last year for the first time and was very excited to come back this summer to Mix Major camp. Each week at Mix Major is filled with learning, creativity and exploration.",5,Valid
Ashes2Art,MixMajor is one of the coolest classes my son has over taken! Eric Jao is a master at teaching the kids how to create and mix their own music.  This is our second year and the caliber of music that my son is creating is off-the-charts. We are so lucky to have someone with Eric’s expertise teach our kids!,5,Valid
Michelle McHann,Two of my children have been taking classes at Mix-Major for five months now and they absolutely love it. Mr. Jao is a great teacher and offers such a unique music experience and education. My kids were able to jump right into the software and create their own music from the very first day which was super exciting for them.  They look forward to going to class each week.,5,Valid
Shavar's Tipsy Kitchen,The highlight of my week! It's so exciting learning how to produce the ideas you have.,5,Valid
Becky Sowers,"My son LOVED his week with Eric ""DJ Enferno""! I've never seen him so excited for a camp! Eric has really created something unique and provides an amazing opportunity for students to learn the art of digital music!",5,Valid
Akila Narayanan,"My son absolutely loves the classes offered at Mix Major. Eric is a great teacher, he keeps the kids engaged and interested, and gives a lot of individual attention. I highly recommend Mix Major for budding musicians.",5,Valid
Kendrey Trammell,"Coming from the classical music realm, I sat down in the seat at the computer thinking, “I’m going to be sooo lost during this workshop.” I was COMPLETLEY wrong! I learned so much about the Abelton digital audio workstation software and easily created my own mix. I can’t believe how fun and easy it was!! This experience has inspired me to do more with electronic music in my own projects as well as with my students! I HIGHLY recommend Mix Major and working with Eric Jao; he was kind, professional, patient, knowledgeable, and supportive.",5,Valid
Tammy Lê,"My 10-year old son said this was one of his favorite camps of the summer (tied with biking camp!).  He looked forward to the camp each day, enjoyed making new friends, and learned so much.  He’s so proud of the music tracks he made and we’re still listening to the CD weeks later.  We appreciated the small class size, Mr Jao’s patience with the kids, and the outcome of the week.  My son is looking forward to doing this summer camp again next year!",5,Valid
D R,"My daughter enjoyed Mix Major experience. She received creative support and guidance that allowed her to work in her own pace. She was not limited to any music or style, it gave her confidence to choose her own beats.",5,Valid
Eldon and Mary Mack,"Mix-Major has been wonderful for my daughter for whom traditional music study alone has not been satisfying.  With Mix-Major classes, she has been able to find an outlet for her creativity and a new passion for music.",5,Valid
Carolee Stearns,"All 4 of my kids (ages 9-17) thoroughly enjoyed their digital music production classes with Mix Major. I was impressed with the quality of instruction, and their final projects were amazing!",5,Valid
Sosi Audain,Eric is epic!  He taught music production to my eight year old daughter that landed her a front page story in the local paper plus a You Tube promo.  Go Eric.  Go!,5,Ad
Hanajima Quinnzel,Great for kids who are interested in other aspects of music. Eric is a great teacher and my boys love it!,5,Valid
Samuel McMullen,"Leslie was an incredible person to work with! She was very clear with directions, had a beautiful vision. She was organized and kind a s just a joy to be around! I can’t wait to work with her again!!",5,Valid
Alycia Crow,"Leslie is the sweetest person ever!! She makes you feel so comfortable during your session and is super patient With your kiddos.
She has the sweetest heart and puts so much time and work into what she does.
Her work shows for itself, and you will not be disappointed!! Great quality always!
Highly recommend her over and over again!!",5,Valid
Courtney Albertson,"Leslie is AMAZING! I participated in one of her Rainbow Shoots. To say that she encompassed my heart & my emotions of it all seems like a huge understatement. I've never felt the ABSOLUTE emotion in a photoshoot before! I mean, I cried -- and she captured it, ALL OF IT. Raw emotion. Love. It was truly breathtaking. I not only have photos of my rainbow babe & I to last a life time, I also bonded with several other Rainbow Mamas & that was incredible in its own right. Leslie is an amazing photographer, with a HUGE heart for her clients! 5 Stars!",5,Valid
Jennifer Cazares,Leslie is the most friendly videographer I have ever met!! Super personable and loves to try new things! My husband and I would hire her again in a heartbeat! She knew what we wanted to remember from our wedding and captured it all! Thank you so much again for all your work at our wedding!,5,Valid
tiffany tharp-calloway,Could not have loved out pictures more! She did an AMAZING job. Seriously just all around gorgeous! She was great as far as helping us find what looked best. She definitely made it fun. Loved the experience all around.,5,Valid
Ashley Winters,"Leslie is basically a magical fairy photographer who makes your wishes come true! From the very beginning in the planning stages to the day of the shoot, she did not skip a beat!! She was very in tune to what we wanted and was very empathetic to how much the breastfeeding shots meant to me and my insecurities with my post baby body. She made my family and I feel super comfortable and all we had to do was be ourselves, and she took care of the rest! She led with expert direction, yet we had so much fun at the same time. I could not recommend Leslie enough!! She truly captures magic, and you will be treasuring these photos for a lifetime ❤️",5,Valid
Chelsea Donovan,"After searching multiple local photographers, I fell in love with Leslies photos & booked her. She was terrific & so easy to work with. She was somehow able to capture amazing photos even with our toddler.",5,Valid
Jocelyn Juarez,"WOW! The photos Leslie captured of my husband and I were breathtaking. She captured not only our smiles but our souls throughout every photo. She has a very distinct style and you can most definitely see her passion for photography in her work. She made sure we were comfortable and gave us words of encouragement throughout the whole session. We cannot thank her enough for being such a beautiful, talented photographer! If you need someone who’s up for a challenge, creative, makes you feel 100% comfortable, interactive, passionate, or just an AWESOME photographer she’s it without a doubt.",5,Valid
Raquel Harp,"Leslie is not only a phenomenal photographer but she is deeply devoted to her craft and gives special attention to each of her clients. Leslie photographed a nursing session for me and my son shortly before he weaned, and those moments are absolutely precious to me as a mama who had a rough start to our nursing journey. She does more than “take photos”, she captures a unique bond between family members and loved ones and freezes those moments you always want to remember. Leslie makes you feel completely comfortable and confident in front of the camera and helps you to feel relaxed during your session. If you’re looking for a photographer to tell your family’s story I would absolutely recommend Leslie’s professionalism and attention to detail!",5,Valid
Cindy Frazier,I cannot say enough good things about Leslie! What a incredibly sweet and talented lady! She was very professional to work with and made things super easy for us. When I got our family photos back I was in tears at how well she captured our family and for the beautiful images that we will cherish always! They were perfect. Thank you Leslie!,5,Valid
Amber Manning,"There are not enough words to describe how incredibly impressed I am with Leslie and her work.  She is absolutely amazing at what she does! She truly has an eye for magic and is so incredibly talented! If you have the chance to book her DO IT!!!!  You will not regret it.
She is such a sweet soul and is so easy to connect with.   My little one did not cooperate at all and Leslie was so patient with all of us and helped us work around the baby to get amazing shots!    She makes you feel so comfortable in front of the camera even if you feel a little nervous!  She is the best and we are so lucky to have found her!!  💛💛💛",5,Valid
Tiarra Jean Tyquiengco,Great communication with prices and policy with the contract. She is kind and sweet when getting to know her clients. There was never a moment where I felt uncomfortable or nervous. I love the story she tells through her photographs and the art she creates. I totally recommend Leslie. You won’t regret it! She is very flexible too!!,5,Valid
Laura Cordoba,"Leslie did a great job with the photo session she had with my boyfriend and I. It was my first time going to Hawaii so we did the Lanikai Pillbox hike during sunset and did the session once at the top. Although my boyfriend was shy at first, she made us feel very comfortable! She caught the essence of those sweet, intimate glances and smiles from one lover to another. Thankful that we chose her in capturing the memories of our first vacation together and I would definitely recommend her again!",5,Valid
Chelisse k,10/10 would recommend Leslie for any photos family or maternity related.  I originally met her when she did a maternity photoshoot for me back in July and she produced the most stunningly beautiful pictures.  Her communication is excellent and she is an incredibly friendly person to work with.  We recently did a video shoot with her as well and she did a beautiful job capturing our family in our natural environment.,5,Valid
ocajibola,"We first came into contact with Leslie Christmas 2018 when she was doing mini sessions. We had a 2 month old and BOYYYY was she patient. As a mommy herself, I felt like she knew what we were going through and care from a place of understanding.

Such a seamless process and we loved our photos so we decided to book her for our sons 1 year pictures. Leslie was in contact with me from the start, and even helped me with ideas and offered to bring items that we needed and/or add purchases to our package.
As a working mom who had no time to plan, she made everything perfect!!! I also appreciated her honestly about timing, weather, location, cake details, outfit changes.... etc.
Fast forward to receiving our pics, I was AMAZED!! She captured EVERYTHING and made it all look absolutely perfect!!

If you’re looking for a honest, EXTREAMLY  talented photographer/storyteller.... PICK LESLIE!!

Thanks Leslie!!",5,Valid
Heather Snyder,Leslie is amazing! I am normally very self conscious but the whole shoot just felt like hanging out with my family. She captured so many beautiful and precious moments. She is worth every single penny .,5,Valid
Motorhead883_,"What can I say. My experience was amazing. My wife and I hired leslie back in 2018 when my daughter was born for newborn pictures. Leslie when out of her way to meet us as the hospital and take pictures there since my wife had to go into surgery after giving birth. Well the pictures were amazing, she understood the pain my wife was in. We did not feel rushed or anything in the contrary she offered to help however she could. Would hire again but we are no longer on island.",5,Valid
Melissa Croom,"Leslie is amazing !! She did my sons 2 year old photos and when  I didn't want to do cake smash ,but a paint smash and she made it work . Not only did she do those photos for his birthday but also some breastfeeding photos  . Yes my son is 2 and still breastfeeds and it is an amazing memory to have captured.  If you're looking for a vibrant and down to earth  photographer look no more !",5,Valid
S. M.,We loved Leslie and highly recommend her to anyone looking to get photos done! She has a more natural approach to capturing moments which makes the end results absolutely stunning! The entire process to book her was easy and she was in constant communication with me as well.,5,Valid
Sammi Toves,Leslie is INCREDIBLE. We did a sunrise shoot and the photos came out even better than I could have imagined. So so happy and thankful for the opportunity to be photographed by her!,5,Valid
Jenna Lucia,"Leslie has such an incredible eye, beautiful posing, and a warm and friendly personality. SHe makes you feel very comfortable! I highly recommend Leslie",5,Valid
Carol Marquez,I did my maternity shoot with Leslie & she did such an AMAZING job! I really enjoyed working with her. She made me feel comfortable & beautiful! The photos she took came out gorgeous & my hubby loved them! Most definitely recommend her.,5,Valid
brianna muccie,Leslie is amazing! I can’t even begin to explain what I felt when I first saw images from our session. she captured so many raw and real emotions between me and all of my sons. I will never be able to thank her enough for helping create such beautiful memories that I get to keep forever. ❤️,5,Valid
Kaelin Rivardo,Amazingggg photography!! She is so amazing at what she does! She knows how to capture the love within the family.. She has an eye for scenery and knows what looks best with every individual family. She makes you feel so comfortable and takes her time to give you the best experience and keepsakes to cherish for life. I highlyyy recommend her! My family will forever have the most beautiful sceneic memories to keep forever because of her talent! THANK YOU LESLIE!!,5,Valid
Norma Carranza,"We had a maternity photoshoot with Leslie this past weekend at sunset, and love her! She was focused on us and committed to us from the moment I asked her about her services. The communication was great throughout the whole service. Upon arrival to the shoot, she was ready for us. She had all the props, a portable changing station, the outfits and she was ready when we were. I was so nervous to be taking pictures with my husband. The last time we had pictures taken were for our wedding day, but she had us feel comfortable, confident and really helped my husband and I find that connection that will stay with us in these pictures. After the shoot, she made sure to answer any questions we had and let us know when to expect the pictures. When I got the email that my photos were ready to view, all i could say was WOW! i mean, they were stunning.. she captured every emotion, and perfect imperfect moments of our shoot that really screamed us! I ended up buying extra prints, it was so hard to choose. Leslie is Magical! Super professional, sweet and dedicated. I would recommend her to everyone!",5,Valid
Michelle Tahamont,"Leslie is so amazing! I reached out to her for a breastfeeding photoshoot to capture the bond I have with my baby, and man did she capture it! She made me feel so comfortable, which I didn't think was possible, and she is so accommodating. I had a vision in mind, and she was able to capture it beautifully. We definitely are going to use her for any photography needs until one of us leaves the island!",5,Valid
FL,"A true photographer has an eye for detail and is great with people. Leslie has the eye, but doesn't have the rest.",2,Valid
Teijah Armbruster,"Leslie had just finished a newborn photography workshop and was looking for newborns to add to her profile. We were one of the lucky few chosen and I had such an amazing first experience with her during our photoshoot. She invited me into her home studio and made sure my daughter was warm (multiple heaters) and comfortable (swaddled baby). I loved how patient she was when the baby got hungry, when she got squirmy she rocked her around before we continued with the pictures. I didn't have to bring any props/clothes, Leslie had a lot of equipment and knew how to do the baby poses.",5,Valid
James Pirog,"Mike is extremely helpful and excited about what he does. Couldn't be happier with the product (Amsoil OE 5W30) and have run it in pretty much all my vehicles, on and off-road. Highly recommend. Thanks again!",5,Irrelevant
